"","logFC","logCPM","LR","PValue","FDR"
"PITA_10183",-2.16075697517951,5.61400740462723,16.3287261534922,5.32505821834601e-05,0.0047832162006015
"PITA_40902",-2.03917571502785,4.96338484291111,16.3258025851786,5.33327962695388e-05,0.0047832162006015
"PITA_09818",-2.80371862553724,1.84526436962514,16.20999156521,5.66943038819596e-05,0.00501551751587036
"PITA_28273",-3.26072979138947,0.669110686026202,15.9666735286368,6.44674354431734e-05,0.00549748697849671
"PITA_08560",-3.19729321370601,0.746517842048608,15.9303680304305,6.5715829690573e-05,0.00556743652906226
"PITA_28306",-3.17506152142303,1.6702604310307,15.7999736654035,7.04034881816526e-05,0.00587100746625778
"PITA_15295",-2.38657167783617,4.6294414286527,15.7329635209952,7.29418959361893e-05,0.00606116859873593
"PITA_05153",-3.22573968536776,0.676013867906912,15.4599531058466,8.42719743642516e-05,0.00680692478645907
"PITA_23781",-2.5434203868116,2.31480720267714,15.4226539934029,8.59516959712764e-05,0.00692110730810195
"PITA_02678",-1.33366270191853,5.94591860392277,15.3352492185104,9.00210403281992e-05,0.00720417611660348
"PITA_02431",-3.77518183842403,3.16643541090318,15.3112504962329,9.11719050938034e-05,0.00727389594964642
"PITA_24359",-2.26609843983588,2.60110835595102,15.2793243045859,9.27259164059235e-05,0.00737525492294087
"PITA_51133",-1.33569953330822,5.99777341561256,15.2235778572265,9.55035646026547e-05,0.00755000672264573
"PITA_31682",-2.12832170115217,2.60083304509784,15.1080028264757,0.000101531952836922,0.00795404988354067
"PITA_06351",-2.47506932264778,2.21574766293334,15.0306466142618,0.000105779391356289,0.00820725671343017
"PITA_09974",-2.9318729098326,2.06866775648096,15.0302822877054,0.000105799813005376,0.00820725671343017
"PITA_48808",-1.58792607283787,6.84301781499349,14.9234407268948,0.000111963136376149,0.00850283172224503
"PITA_26684",-1.69268281776004,3.32606582567317,14.9002412908553,0.000113348486420169,0.00853142005745734
"PITA_01744",-2.70190850531268,1.33740491627962,14.790082900548,0.000120165783547796,0.00887895415992793
"PITA_15927",-2.74938670342556,2.58862676031591,14.4758783047572,0.00014196589138674,0.0101718756723904
"PITA_42387",-3.67497260108847,0.611826538408598,14.4432534533631,0.000144446348343063,0.0102928906138486
"PITA_07279",-1.66038538260646,6.87239672447949,14.4217332510291,0.000146106363437795,0.0103827333515126
"PITA_12586",-1.90223998635255,3.4691301772937,14.2860628795471,0.00015702320152252,0.0110081305886772
"PITA_43713",-1.31016799368918,9.42034858305502,14.2335333380314,0.000161467421934662,0.0112308351312393
"PITA_40008",-1.596293741776,5.4144210341135,14.2281828257278,0.000161927147303424,0.0112308351312393
"PITA_41676",-1.31047148506424,6.0249342559918,14.2150479646018,0.000163061315443408,0.0112794195568288
"PITA_25765",-4.37063223118635,3.8577967683998,14.0056041929951,0.00018226657398425,0.0123579282808639
"PITA_13681",-2.23612702449751,2.32482500169029,14.0031536886594,0.00018250426972375,0.0123579282808639
"PITA_40300",-1.51114125151258,3.98197959476584,13.8406121005523,0.000198988385238857,0.0133388889476222
"PITA_37303",-1.21463263006906,5.48463521112942,13.8213930698049,0.000201034135446923,0.0133726261607136
"PITA_38496",-1.68904076398624,5.20717200438254,13.7920937341769,0.000204193723643017,0.0135481493832429
"PITA_20669",-1.57943983561195,6.4398523128535,13.6579732041083,0.000219308091879277,0.0142090170000347
"PITA_25644",-1.46490859378038,4.7591604591603,13.6441320032289,0.000220930698957091,0.0142090170000347
"PITA_14158",-2.83350077047241,1.3388651105759,13.6413679467831,0.00022125617613188,0.0142090170000347
"PITA_50012",-1.25880447764137,4.93146884532197,13.6067578210507,0.00022537277508588,0.0144377352394302
"PITA_09085",-2.50347943367366,3.5034059645702,13.4865702757145,0.000240276975791997,0.0151683588916846
"PITA_43642",-1.63342024009762,8.47062026295213,13.395013189861,0.000252294166532874,0.0158118529574783
"PITA_07465",-3.33252940806014,0.265333857642616,13.3872236364094,0.000253344120130114,0.0158394885107311
"PITA_37074",-2.06243767910579,2.71010835994005,13.1620058958573,0.000285682900937839,0.0175243551190855
"PITA_50170",-2.95398544255144,0.133922574298615,13.0442100514678,0.0003042234495277,0.0184441671299906
"PITA_49449",-1.58146365977011,3.93127699624546,12.9935275808105,0.000312569545716727,0.0189060960803403
"PITA_38033",-1.4093016907607,4.17984947037595,12.8949366921672,0.000329472240889018,0.0197461862333295
"PITA_42555",-1.76149257315292,2.90686872995165,12.8209057126108,0.000342767756000919,0.0202614694677907
"PITA_39951",-1.92722457792766,3.15925559512806,12.7714399150227,0.000351951809702629,0.0207571760057952
"PITA_49619",-3.47945215986344,1.86662845359021,12.6818539212052,0.000369221303344549,0.0214833934646272
"PITA_50767",-1.70481673137072,4.23762456628963,12.5664255569487,0.000392739041659976,0.0224007669616981
"PITA_18544",-1.20092983607198,6.89204791942335,12.3459961510024,0.000441933267282935,0.0245079794216671
"PITA_23009",-1.73861568355356,3.88488810320038,12.3298782531019,0.000445765479534266,0.0246679028876739
"PITA_06138",-1.18790290750366,5.81848510727289,12.2946607352036,0.000454255935935187,0.0249783142446898
"PITA_18124",-1.39117778670503,5.66710412655207,12.1696401129843,0.000485736773976904,0.0265410246940447
"PITA_11259",-2.88020227315263,1.976546001688,12.1446651395013,0.000492284799442505,0.0268424221146753
"PITA_11051",-1.62132457316893,3.60552761529258,12.0938168620517,0.000505893063262537,0.0274692540342283
"PITA_07719",-1.57369780906094,4.84448733933931,11.9383609444687,0.000549898364053483,0.0296114007260187
"PITA_33194",-2.11827448473399,4.07309898542865,11.9336856043166,0.00055128008087903,0.0296244702966584
"PITA_19462",-2.4479951340307,3.39225709172492,11.9268343163898,0.000553311196048472,0.0296723111299479
"PITA_27964",-1.56674087527169,2.96969741003358,11.8763239332885,0.000568520421231857,0.0303005074504495
"PITA_18140",-2.23573235436725,1.59094907312307,11.746494965992,0.000609579257233229,0.0319648123011675
"PITA_18117",-1.29615092741796,5.94911992702422,11.7219269189105,0.000617679638871234,0.0322834391464333
"PITA_09179",-1.70538972736044,3.66526231103948,11.5838551424251,0.000665268788580838,0.0343313014329346
"PITA_22468",-2.28457177380742,0.861871515909869,11.5410765237221,0.000680752103041123,0.0350607553425675
"PITA_21213",-1.87750999463496,3.09670887418056,11.4463563979838,0.000716343238682935,0.036532100578244
"PITA_47340",-2.49139375897348,2.42228317936684,11.3865058609927,0.000739795559800728,0.0372894238660022
"PITA_43063",-2.67552828159875,3.49653554059195,11.3094755902953,0.000771125482728452,0.0381296628902743
"PITA_43448",-2.33106367598987,2.20231618899098,11.3033023175837,0.000773693586734595,0.038184054074725
"PITA_10873",-1.264253785487,5.47420758696876,11.2995253392372,0.000775269083143616,0.0381893439081104
"PITA_40015",-2.33644800470681,3.44366725608178,11.2096585275946,0.000813726917888172,0.0398184549190322
"PITA_07225",-0.948579689811485,7.3240368490175,11.1935014324268,0.000820843032593727,0.039905245672393
"PITA_05353",-1.49699952314434,3.36515252416831,11.1406736949995,0.000844552131676682,0.0409049467277073
"PITA_38791",-1.27321858117217,4.65446743298196,11.1121287667347,0.00085764994427378,0.0411261344189237
"PITA_46810",-2.24756469742329,1.27649428493781,11.1100618316737,0.000858606289725695,0.0411261344189237
"PITA_10478",-1.25456731570043,4.43619395029898,11.0976968558514,0.000864349967135556,0.0413251439250527
"PITA_38207",-2.75996795647719,0.646507232645255,11.0481946336132,0.000887736019452095,0.0421334418429371
"PITA_25199",-1.33926818962436,5.0846227535124,11.0372820123283,0.000892976863651261,0.0423049822344365
"PITA_45104",-2.42521700359907,1.85351225790122,11.0025636162528,0.000909859535751345,0.0428957649290984
"PITA_31051",-2.20826896428809,1.19485799692368,10.9816603388359,0.000920179530480009,0.0432002696899902
"PITA_00012",-1.87641123611318,2.3355566317873,10.9137058979415,0.000954553749982332,0.0445726902752073
"PITA_43227",-1.20851154661462,4.95983895649957,10.8577601126206,0.000983826183797182,0.0454113339945276
"PITA_31306",-1.570689242177,3.14713359793714,10.7758100357326,0.00102835201891488,0.046923522210451
"PITA_30667",-2.00991758350426,2.98519239738563,10.7452853030556,0.00104545322015026,0.0473830435709815
"PITA_05631",-1.1784515257217,5.02199613478311,10.7379937045864,0.00104958065697285,0.0474757274907945
"PITA_33787",-1.70613465366305,3.1944783338349,10.7303909136081,0.00105390179863213,0.0475884234038594
"PITA_37198",-0.925537970258365,7.77186694117394,10.6521858793794,0.00109940893906328,0.0489632313289329
