"","logFC","logCPM","LR","PValue","FDR"
"PITA_41232",6.20808410092872,6.38474454821053,44.4057806466877,2.668978478826e-11,1.57766957399513e-08
"PITA_31556",3.85245173628811,4.57396396841165,43.5953366193168,4.03800141690603e-11,2.33387508560687e-08
"PITA_47823",2.62824799285067,5.84804538297905,43.3830217330714,4.50076400781927e-11,2.50088274849536e-08
"PITA_26516",2.85218903881879,6.24685082202144,43.3749959103441,4.51926214692152e-11,2.50088274849536e-08
"PITA_42897",2.32423509398875,7.9884666128999,43.1463745279855,5.07939302535401e-11,2.75229027492568e-08
"PITA_44090",3.85240499593859,4.4048123497392,43.076046002664,5.26529737694992e-11,2.79479835667531e-08
"PITA_40371",3.71784057311591,6.55773990731486,42.867999499187,5.85607852967392e-11,3.04621492956578e-08
"PITA_46720",2.57805240230918,5.25869497086649,42.2356112841791,8.09131391096987e-11,4.12641144138069e-08
"PITA_12400",8.18692032626922,0.922721817691862,42.1728219340388,8.35531617404013e-11,4.1791041994348e-08
"PITA_33251",8.35517551805008,1.03649471133059,41.8988607384916,9.61186246541403e-11,4.71688548798025e-08
"PITA_15611",3.92353863805735,4.80858600159227,41.6135219257121,1.11221348145869e-10,5.35695563689985e-08
"PITA_14368",5.5716125792369,2.8448378256771,41.5441594680452,1.15238244822321e-10,5.44951183560679e-08
"PITA_32480",8.06888692124533,0.781052699190478,41.1580691799882,1.4040243029078e-10,6.52094073113016e-08
"PITA_16805",5.46668461499778,1.96024256374943,40.7063127173561,1.76914731361512e-10,8.07258815435365e-08
"PITA_39753",4.87302441299334,3.16174803185239,40.6243640768093,1.8449187496345e-10,8.26765622111237e-08
"PITA_04324",5.40939550354493,1.89112233244682,40.5614334745419,1.90530384835812e-10,8.26765622111237e-08
"PITA_02699",5.673295187052,2.32669260048526,40.5594279331081,1.9072604608664e-10,8.26765622111237e-08
"PITA_24322",7.81168450595652,0.564355801416014,40.4009347279475,2.06842120245442e-10,8.81927328764543e-08
"PITA_33335",3.31146707217263,3.05980011231836,39.6755406777309,2.99857485404241e-10,1.25790215127079e-07
"PITA_28142",6.24143478147295,3.13635412043629,39.4596988403242,3.34900225962292e-10,1.38260634556401e-07
"PITA_42670",2.88332125172018,3.75059813801518,39.1770716737616,3.87059031030761e-10,1.55673089990778e-07
"PITA_40960",4.83006814651548,2.97898874379895,39.1670642085461,3.89048054496542e-10,1.55673089990778e-07
"PITA_38468",6.15073871462352,1.95162656229829,39.0843943498294,4.05875354342271e-10,1.5994563774376e-07
"PITA_36266",7.5042049369693,3.25383938453291,38.9759551009738,4.29057711333062e-10,1.66557642000919e-07
"PITA_33524",5.03185413339226,1.25450600717956,38.1076031132229,6.69487455055493e-10,2.56069106154975e-07
"PITA_31536",2.72390443312157,5.50529785998567,37.9030401440446,7.43492919691626e-10,2.8025372968492e-07
"PITA_50420",2.15255698953994,8.32696441368638,37.5095351339041,9.09671869635404e-10,3.37995080819246e-07
"PITA_30131",6.56655364334224,1.12780307958678,37.1115120004732,1.1156313775555e-09,4.08682485899168e-07
"PITA_33915",7.99792508560394,0.738049699679666,36.7943167017953,1.31272372189335e-09,4.69499357521912e-07
"PITA_00454",4.87861551259746,5.27004893072305,36.6013032675369,1.44934785621301e-09,5.09406599895192e-07
"PITA_32409",2.88617422907466,4.03279400763762,34.2918370808259,4.74367273385891e-09,1.56174916626502e-06
"PITA_51145",4.32752653588439,2.28830770855364,33.9918863735765,5.53423686157463e-09,1.77703662386043e-06
"PITA_01478",3.75405384470869,1.98129455835944,33.675415041789,6.51185006815581e-09,2.06544766369103e-06
"PITA_39065",1.94118548473998,5.43902927802203,33.5377497612938,6.98941973094494e-09,2.19021467207406e-06
"PITA_18269",3.37997949916279,2.65829047855246,33.3855225487741,7.55845368279669e-09,2.34033121233166e-06
"PITA_41827",3.04415032282234,4.44029549319585,33.2038754106834,8.29849792792792e-09,2.53924273655856e-06
