"","Sl1","Sl2","Sl3","Ctr1","Ctr2","Ctr3"
"PITA_49453",1.2143775129103,0.67017422377687,1.61673663081147,0.18131512081674,1.08564919615322,0.839027739109738
"PITA_17112",106.229118629344,107.323614979124,83.2619364867909,120.12126754109,100.570593716375,123.337077649131
"PITA_45340",36.6626353897682,21.9242710349862,53.958585053333,80.9572014446744,41.3533648352907,19.6332490951679
"PITA_09671",331.004613518979,238.582023664566,307.88728213016,310.230171717442,297.961356653324,299.86851395782
"PITA_34845",78.2984358324071,72.3788161679019,71.3385038345563,73.8859117328215,75.2058806789773,72.4080938851704
"PITA_44474",40.4792504303434,28.9132307972307,56.4847360389759,27.197268122511,43.4259678461286,47.3211644857892
"PITA_05668",41.2310079383355,41.7422802238164,47.8958226877899,44.9661499625515,36.0238142359931,44.3845673989051
"PITA_14618",45.7993804869028,41.7422802238164,50.2198815945814,47.3232465331691,42.8337955573178,42.1191925033088
"PITA_49676",9.42588260020853,3.25513194405908,7.0732227598002,4.17024777878502,5.82302750663998,2.93659708688408
"PITA_35104",340.141358616114,311.056579007293,316.476195481346,342.05097542078,392.116750574248,360.530219495454
"PITA_23214",228.592109930211,248.060201972267,272.925352488862,353.292512911418,238.941518535176,218.566726038087
"PITA_43246",10.8137426149632,2.96791441958328,16.3694583869662,15.683757950648,5.92172288810845,5.87319417376816
"PITA_28439",2.31310002459105,4.40400204196229,8.99309750888883,3.71695997674317,14.0147441685233,1.76195825213045
"PITA_39451",1.67699751782851,3.73382781818542,2.62719702506865,3.17301461429295,3.65172911433354,5.4536803042133
"PITA_25310",3.81661504057523,2.68069689510748,3.83974949817725,3.71695997674317,2.76347068111728,2.93659708688408
"PITA_46354",0.693930007377315,0.574435048951602,1.61673663081147,2.81038437265947,0.986953814684742,1.42634715648655
"PITA_26557",19.5456952077944,25.9453163776474,23.3416351073407,12.6014008967634,25.6607991818033,18.7103185821472
"PITA_05896",2.94920253135359,2.87217524475801,2.9303351433458,2.17578144980088,3.4543383513966,2.09756934777434
"PITA_26131",24.1718952569765,21.158357636384,21.421760358252,20.1259784106581,19.7390762936948,22.0664295385861
"PITA_08501",116.059793733856,129.247886014111,106.906709712409,118.580089014148,110.341436481754,117.21217515363
"PITA_23129",25.2127902680425,19.0520957902281,27.9897529209236,25.2934593539352,54.2824598076608,12.753221634468
"PITA_36009",18.5626276973432,19.722270014005,24.655233619875,11.3321950510462,12.0408365391538,43.8811507554393
"PITA_29790",2.71789252889449,2.39347937063168,1.01046039425717,1.35986340612555,1.77651686643254,2.18147212168532
"PITA_43803",2.37092752520583,0.478695874126335,1.81882870966291,0.99723316449207,0.197390762936948,0.419513869554869
"PITA_13255",8.78978009344599,11.8716576783331,8.79100543003739,6.52734434940264,4.44129216608134,8.05466629545348
"PITA_34395",101.024643574014,73.5276862658051,100.540809228589,86.3966550691766,100.866679860781,71.9885800156155
"PITA_02470",1.2143775129103,0.287217524475801,3.43556534047438,2.26643901020925,1.97390762936948,1.00683328693169
"PITA_42222",28.7402678055438,19.8180091888303,20.3102539245691,27.8318710453696,37.2081588136148,22.8215545037849
"PITA_22212",1.38786001475463,1.43608762237901,1.81882870966291,1.35986340612555,0.690867670279319,0.839027739109738
"PITA_39126",2.1974450233615,4.88269791608862,3.5366113799001,5.34879606409383,5.23085521782913,6.79612468678888
"PITA_19021",4.6262000491821,5.16991544056442,2.22301286736578,4.17024777878502,3.25694758845965,3.188305408617
"PITA_20956",36.3734978866943,12.8290494265858,23.8468653044692,23.8429383874013,25.7594945632718,10.4878467388717
"PITA_35956",162.900069231825,140.162151944191,139.44353440749,145.233411774209,122.382273020908,232.410683733397
"PITA_46822",0.809585008606868,1.62756597202954,2.02092078851434,1.17854828530881,2.17129839230643,0.839027739109738
"PITA_37515",35.7373953799317,35.136277160873,33.7493771681895,34.6311880759973,28.4242698629206,28.946456999286
"PITA_01192",3.06485753258314,4.21252369231175,4.24393365588012,0.81591804367533,1.38173534055864,3.02049986079506
"PITA_47275",32.4412278448895,40.0189750769616,27.7876608420722,36.4443392841647,24.3777592227131,40.7767481207333
"PITA_19434",1479.28529322659,1161.79488650462,1387.05898319682,1702.6396420296,1975.09197394711,1243.27130381281
"PITA_43731",9.71502010328242,7.5633948111961,5.15334801071157,7.2526048326696,6.1191136510454,8.72588848674127
"PITA_34570",7.98019508483913,12.2546143776342,8.99309750888883,8.52181067838678,12.1395319206223,11.2429717040705
"PITA_29697",25.2127902680425,17.9989648671502,25.362555895855,24.2055686290348,28.8190513887945,27.6879153906213
"PITA_07431",1.04089501106597,2.20200102098114,1.51569059138576,0.45328780204185,2.07260301083796,3.02049986079506
"PITA_03732",31.5738153356679,46.9121956643809,28.596029157478,44.1502319188762,78.462828267437,50.5933726683172
"PITA_41227",536.523550703894,710.671894727958,475.926845695128,560.535696004952,530.685066155986,658.552872427233
"PITA_10940",12.0281201278735,7.8506123356719,61.9412221679646,46.054040687452,63.3624349027604,4.69855533901453
"PITA_44530",6.70799007131405,9.57391748252671,14.3485375984518,21.0325540147418,30.0033959664162,11.5785827997144
"PITA_02582",0.578275006147763,1.34034844755374,0.606276236554303,4.5328780204185,10.2643196727213,3.35611095643895
"PITA_46081",32.556882846119,44.5187162937492,39.306909336604,43.9689167980594,44.2155308978764,34.2323317556773
"PITA_19786",3.35399503565702,2.68069689510748,3.03138118277151,3.17301461429295,2.56607991818033,3.5239165042609
"PITA_36560",15.0929776604566,10.2440917063036,11.3171564156803,9.065756040837,12.0408365391538,8.05466629545348
"PITA_13249",0.693930007377315,1.72330514685481,0.909414354831454,1.08789072490044,0.592172288810845,1.17463883475363
"PITA_27271",3.12268503319792,6.9889597622445,4.74916385300871,8.43115311797841,3.84911987727049,7.88686074763154
"PITA_08869",29.202887810462,17.0415731188975,25.6656940141322,25.2934593539352,28.2268790999836,13.3405410518448
"PITA_15027",65.2872481940824,68.0705533007649,90.032021128314,51.0402065099123,89.4180156104376,57.641205676839
"PITA_19138",7.11278257561748,10.1483525314783,12.6307549282146,6.16471410776916,11.448664250343,7.29954133025472
"PITA_21010",3.00703003196837,1.05313092307794,1.91987474908863,2.62906925184273,2.26999377377491,1.51024993039753
"PITA_03984",47.7655155078052,35.3277555105236,36.5786662721096,37.3509148882484,32.2733897401911,37.2528316164724
